날짜,고객사 ID,고객사명,고객사 그룹,제휴점 ID,제휴점명,제휴점 그룹,제휴점 유형,정산단위,수수료율,혼자결제,함께결제,정상거래,취소거래,관리자입력,거래 통계 합계,주문 수,고유 사용자 수,판매가격,식대/복지 포인트,포인트 단위,대장포인트,대장쿠폰,간편결제,포인트 사용 합계,고객사 청구 금액,제휴점 정산 금액,제휴점 수수료 금액,거래액,배송비,고객사 시/도,고객사 시/군/구,고객사 동/면,제휴점 시/도,제휴점 시/군/구,제휴점 동/면
2020-01-01,731AC448-3E6F-590A-5E9D-7CE01204C126,콤텍정보통신,콤텍시스템,,,,방문 제휴식당,,,39,0,39,0,0,39,39,13,214500,214500,원,0,0,0,214500,214500,210210,4290,214500,0,서울특별시,영등포구,대림동,,,
2020-01-01,B762B2DA-071E-4194-9198-9B3DC9E5290A,메드트로닉코리아(x),미설정(기본그룹),,,,방문/전화배달 제휴식당,,,3,13,16,0,0,16,5,16,151000,151000,원,0,0,0,151000,151000,147895,3105,151000,0,서울특별시,강남구,대치동,,,
2020-01-01,1F538A2E-5E12-48F2-B240-77466E63DF53,코리아경제티비,미설정(기본그룹),,,,방문 제휴식당,,,7,167,174,0,0,174,42,13,1441500,1441500,원,0,0,0,1441500,1441500,1414610,26890,1441500,0,서울특별시,강남구,청담동,,,
2020-01-01,93F74385-5D11-4C67-8C1C-135F3D537120,크라우디(x),미설정(기본그룹),,,,배달식사,,,257,0,224,33,0,257,257,16,1012600,1012600,원,0,0,0,1012600,1012600,931592,81008,1012600,0,경기도,성남시 수정구,시흥동,,,
2020-01-01,92D3710B-E6D6-4331-907C-026CC0A65E0C,한국룬드벡(x),미설정(기본그룹),,,,POS(MMTHC),,,2,11,13,0,0,13,6,8,33400,33400,원,0,0,0,33400,33400,32732,668,33400,0,서울특별시,송파구,신천동,,,
2020-01-01,5FF61FAD-C242-42F5-B706-C1398AB13BD4,한국건강증진개발원(x),미설정(기본그룹),,,,방문/전화배달 제휴식당,,,17,9,26,0,0,26,20,13,153400,153400,원,0,0,0,153400,153400,150332,3068,153400,0,서울특별시,중구,충무로3가,,,
2020-01-01,B729A2EF-A4F3-4804-8CEE-55DE40FC4A54,더쿠스(x),미설정(기본그룹),,,,방문 제휴식당,,,18,100,118,0,0,118,40,9,844700,844700,원,0,0,0,844700,844700,826486,18214,844700,0,서울특별시,서초구,서초동,,,
2020-01-01,91F2A7B1-D0C2-736A-E39C-A9F57441CB12,한미글로벌이엔씨,한미글로벌,,,,방문 제휴식당,,,34,28,62,0,0,62,45,3,601300,601300,원,0,0,0,601300,601300,589393,11907,601300,0,서울특별시,강남구,삼성동,,,
2020-01-01,BFCC0885-CA38-BCCF-B4F9-6EFB670C3DCA,에어부산(운항통제실),금호아시아나,,,,방문 제휴식당,,,4,0,4,0,0,4,4,4,600000,120,장,0,0,0,120,600000,600000,0,600000,0,부산광역시,강서구,대저2동,,,
2020-01-01,00EE8441-62BF-40D7-AB37-64280D456132,대명인터내셔널 삼성지점(x),대명소노,,,,POS(KFC),,,3,4,7,0,0,7,4,6,49000,49000,원,0,0,0,49000,49000,47383,1617,49000,0,서울특별시,강남구,삼성동,,,
